STATES/UTs,ANNUAL
Andaman and Nicobar,2851.9
Andhra Pradesh,760.4
Arunachal Pradesh,2706.9
Assam,2140.5
Bihar,1158
Chandigarh,614.3
Chhattisgarh,1315.8
Dadra and Nagar Haveli,2732.4
Daman and Diu,1858
Delhi,567.9
Goa,3065.1
Gujarat,604.9
Haryana,392.9
Himachal Pradesh,921.5
Jammu and Kashmir,902.8
Jharkhand,1264
Karnataka,849.9
Kerala,1870.9
Lakshadweep,1065.7
Madhya Pradesh,1203.2
Maharashtra,1272.8
Manipur,1777.4
Meghalaya,2891.5
Mizoram,2233.5
Nagaland,1364.9
Orissa,1253.5
Puducherry,655.6
Punjab,444
Rajasthan,574.4
Sikkim,2756.6
Tamil Nadu,534.6
Telangana,1043.4
Tripura,2381.9
Uttar Pradesh,801.7
Uttarakhand,1308.6
West Bengal,1702.6